epoch,dice_coef,iou,learning_rate,loss,val_dice_coef,val_iou,val_loss
0,0.19763009250164032,0.11006788909435272,1.9999999494757503e-05,0.8023698925971985,0.1196669340133667,0.06367920339107513,0.8803330659866333
1,0.24925576150417328,0.14270564913749695,1.9999999494757503e-05,0.7507442235946655,0.11977215111255646,0.06373899430036545,0.88022780418396
2,0.2966628670692444,0.17463436722755432,1.9999999494757503e-05,0.7033370733261108,0.11921811103820801,0.06342492997646332,0.880781888961792
3,0.3428288996219635,0.2073943316936493,1.9999999494757503e-05,0.6571711897850037,0.11842677742242813,0.06297683715820312,0.8815732002258301
4,0.3832486867904663,0.2376934438943863,1.9999999494757503e-05,0.6167513132095337,0.11751435697078705,0.06246054172515869,0.8824856281280518
5,0.41704261302948,0.26415497064590454,1.9999999494757503e-05,0.5829573273658752,0.11637593805789948,0.061817415058612823,0.8836240768432617
6,0.44517701864242554,0.287087082862854,1.9999999494757503e-05,0.5548229217529297,0.11491252481937408,0.06099151074886322,0.8850874900817871
7,0.4606567919254303,0.2999662756919861,1.9999999949504854e-06,0.5393431186676025,0.11340978741645813,0.06014496088027954,0.8865902423858643
8,0.46533215045928955,0.3039650022983551,1.9999999949504854e-06,0.5346678495407104,0.11168472468852997,0.05917450413107872,0.8883153200149536
9,0.46668699383735657,0.3050653636455536,1.9999999949504854e-06,0.533312976360321,0.1099032461643219,0.058174435049295425,0.8900967836380005
10,0.4701007306575775,0.30802398920059204,1.9999999949504854e-06,0.5298992395401001,0.10795954614877701,0.05708552896976471,0.892040491104126
11,0.4724334478378296,0.30997636914253235,1.9999999949504854e-06,0.5275665521621704,0.10566918551921844,0.05580531805753708,0.8943308591842651
12,0.4737955331802368,0.31115180253982544,2.0000000233721948e-07,0.5262044668197632,0.10341805219650269,0.05455005168914795,0.8965819478034973
13,0.474453866481781,0.3117551803588867,2.0000000233721948e-07,0.525546133518219,0.10093480348587036,0.053168900310993195,0.8990651965141296
14,0.47429636120796204,0.31158992648124695,2.0000000233721948e-07,0.5257036685943604,0.09874805808067322,0.05195621773600578,0.9012519121170044
15,0.47451603412628174,0.3118034601211548,2.0000000233721948e-07,0.5254839062690735,0.096493661403656,0.05070754140615463,0.903506338596344
16,0.4750695824623108,0.3122633099555969,2.0000000233721948e-07,0.5249304175376892,0.09458145499229431,0.04965291917324066,0.9054185152053833
17,0.47467172145843506,0.31189751625061035,1.0000000116860974e-07,0.5253282785415649,0.09301936626434326,0.04879206418991089,0.9069806337356567
18,0.47485488653182983,0.3120742440223694,1.0000000116860974e-07,0.5251449942588806,0.0915680006146431,0.04799167439341545,0.9084320068359375
19,0.4749552309513092,0.31216469407081604,1.0000000116860974e-07,0.5250446796417236,0.09234309196472168,0.04841923713684082,0.9076569080352783
20,0.4746851921081543,0.31190982460975647,1.0000000116860974e-07,0.5253147482872009,0.09493136405944824,0.04984213411808014,0.9050686359405518
21,0.47491538524627686,0.3121345639228821,1.0000000116860974e-07,0.5250846147537231,0.09752710908651352,0.05127163231372833,0.9024728536605835
22,0.4752421975135803,0.312383770942688,1.0000000116860974e-07,0.5247578024864197,0.10697398334741592,0.05652762949466705,0.8930259943008423
23,0.4756105840206146,0.3127075433731079,1.0000000116860974e-07,0.5243894457817078,0.11740925908088684,0.062381159514188766,0.8825907707214355
24,0.4756181538105011,0.3127182722091675,1.0000000116860974e-07,0.5243818759918213,0.13157573342323303,0.07045838236808777,0.8684242963790894
25,0.47546637058258057,0.3125692307949066,1.0000000116860974e-07,0.5245336890220642,0.1515672653913498,0.08204922080039978,0.8484327793121338
26,0.47591257095336914,0.312953919172287,1.0000000116860974e-07,0.5240874290466309,0.17232361435890198,0.09437251091003418,0.8276764154434204
27,0.47575438022613525,0.31280481815338135,1.0000000116860974e-07,0.5242456197738647,0.20186097919940948,0.11236587166786194,0.7981389760971069
28,0.47547972202301025,0.312592476606369,1.0000000116860974e-07,0.5245202779769897,0.2255955934524536,0.12725605070590973,0.7744044065475464
29,0.4768015444278717,0.3137514293193817,1.0000000116860974e-07,0.5231984257698059,0.2574940621852875,0.14791035652160645,0.7425059676170349
30,0.47591841220855713,0.31295502185821533,1.0000000116860974e-07,0.5240816473960876,0.28054413199424744,0.1633445918560028,0.719455897808075
31,0.4766901433467865,0.31362730264663696,1.0000000116860974e-07,0.5233099460601807,0.3078541159629822,0.18213269114494324,0.6921458840370178
32,0.47646650671958923,0.3134399354457855,1.0000000116860974e-07,0.5235335230827332,0.3303409516811371,0.19811305403709412,0.6696590185165405
33,0.47684505581855774,0.3137812614440918,1.0000000116860974e-07,0.5231549739837646,0.34783512353897095,0.2109123170375824,0.6521648168563843
34,0.4772062301635742,0.31410783529281616,1.0000000116860974e-07,0.5227937698364258,0.36579078435897827,0.22423653304576874,0.6342092156410217
35,0.47670745849609375,0.313646525144577,1.0000000116860974e-07,0.5232925415039062,0.3782738447189331,0.23372258245944977,0.6217261552810669
36,0.47665607929229736,0.3136120140552521,1.0000000116860974e-07,0.5233439207077026,0.3869973123073578,0.2404536008834839,0.6130027174949646
37,0.477544367313385,0.3144010305404663,1.0000000116860974e-07,0.522455632686615,0.3942858576774597,0.24611243605613708,0.6057142019271851
38,0.47712647914886475,0.3140215277671814,1.0000000116860974e-07,0.52287358045578,0.39935433864593506,0.25007545948028564,0.6006456613540649
39,0.47807931900024414,0.31486526131629944,1.0000000116860974e-07,0.5219206213951111,0.40272149443626404,0.25271928310394287,0.5972785353660583
