epoch,dice_coef,iou,learning_rate,loss,val_dice_coef,val_iou,val_loss
0,0.557492733001709,0.39416825771331787,1.9999999494757503e-05,0.442507266998291,0.5239832997322083,0.369035542011261,0.47601673007011414
1,0.691383421421051,0.5290738940238953,1.9999999494757503e-05,0.308616042137146,0.5674287676811218,0.41157594323158264,0.4325711727142334
2,0.7447574138641357,0.5938940644264221,1.9999999494757503e-05,0.25524261593818665,0.5956138968467712,0.44154372811317444,0.4043859541416168
3,0.777955949306488,0.6371380686759949,1.9999999494757503e-05,0.22204387187957764,0.6088990569114685,0.45673632621765137,0.3911009430885315
4,0.7994235157966614,0.6664169430732727,1.9999999494757503e-05,0.20057712495326996,0.6169391870498657,0.46687912940979004,0.38306084275245667
5,0.813752293586731,0.686578631401062,1.9999999494757503e-05,0.1862482875585556,0.6253752112388611,0.47517362236976624,0.37462472915649414
6,0.823609471321106,0.7007511854171753,1.9999999494757503e-05,0.17639108002185822,0.6322872638702393,0.482270747423172,0.3677127957344055
7,0.8308070302009583,0.7112594246864319,1.9999999494757503e-05,0.16919374465942383,0.6357688903808594,0.48785316944122314,0.364231139421463
8,0.8361098170280457,0.7190952897071838,1.9999999494757503e-05,0.16388936340808868,0.6365297436714172,0.48870113492012024,0.3634701073169708
9,0.8398502469062805,0.7246614098548889,1.9999999494757503e-05,0.1601499766111374,0.6354317665100098,0.4882374107837677,0.3645680844783783
10,0.8426976203918457,0.7289280891418457,1.9999999494757503e-05,0.15730173885822296,0.639695942401886,0.49233129620552063,0.3603041172027588
11,0.8447710871696472,0.7320489287376404,1.9999999494757503e-05,0.15522870421409607,0.6347131729125977,0.48755955696105957,0.36528658866882324
12,0.8463846445083618,0.7344845533370972,1.9999999494757503e-05,0.1536153107881546,0.6304726004600525,0.484881728887558,0.3695273697376251
13,0.8477166295051575,0.7365027070045471,1.9999999494757503e-05,0.1522836983203888,0.6467792987823486,0.5010460615158081,0.35322052240371704
14,0.8487606644630432,0.7380890250205994,1.9999999494757503e-05,0.15123935043811798,0.6463522911071777,0.5011767745018005,0.35364794731140137
15,0.849597156047821,0.7393602132797241,1.9999999494757503e-05,0.1504029780626297,0.6458710432052612,0.5011017918586731,0.3541291058063507
16,0.8503076434135437,0.7404404878616333,1.9999999494757503e-05,0.14969298243522644,0.651269793510437,0.5062108635902405,0.3487302362918854
17,0.8509873151779175,0.7414781451225281,1.9999999494757503e-05,0.14901334047317505,0.6505804657936096,0.5066042542457581,0.34941965341567993
18,0.8514951467514038,0.7422530651092529,1.9999999494757503e-05,0.1485050469636917,0.6507048606872559,0.5054064989089966,0.3492952585220337
19,0.8518434166908264,0.7427855134010315,1.9999999494757503e-05,0.14815594255924225,0.6469288468360901,0.5027732253074646,0.3530711233615875
20,0.8522439002990723,0.7433966398239136,1.9999999494757503e-05,0.14775626361370087,0.6485270857810974,0.502701997756958,0.351472944021225
